Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,DegreeFYD,2026-05-07,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,68.7,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,101.14,3,3
Meta,Lead Gen,DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,60.31,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,115.9,3,4
Meta,Lead Gen,DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR1,20.54,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR2,41.45,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_SF,Shoolini_Online_UG&PG_SF_CR2,87.82,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,Shoolini_Online_UG&PG_IF,Shoolini_Online_UG&PG_IF_CR2,107.7,2,3
Meta,Lead Gen,DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR1,33.8,0,0
Meta,Lead Gen,DegreeFYD,2026-05-07,AMITY_ONLINE_UG&PG_IF,AMITY_ONLINE_UG&PG_IF_CR2,13.73,1,1
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR1,149.85,4,4
Meta,Lead Gen,DegreeFYD,2026-05-07,ONLINE_MBA_IF,ONLINE_MBA_IF_3_CR2,94.79,0,0
